Today 8/3/1997 is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/04/1997 (B) 12/04/1996 (C) 08/04/1901 (D) 08/04/2004 (E) 08/01/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. Therefore among A through F the answer is A.
Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 02/23/2010 (B) 02/24/2010 (C) 03/01/2010 (D) 01/26/2010 (E) 02/22/2010 (F) 02/19/2010,Jane visits the bookstore on the 16th of each month. The 16th of October 2009 was a Saturday. The 16th of November 2009 was a Sunday. The 16th of December 2009 was a Tuesday. The 16th of January 2010 was a Friday. The 16th of February 2010 was a Monday. Therefore one week from today the 16th of February would be the 23rd of February 2010 which is a Monday. The answer is (A). Therefore among A through F the answer is A.
Today is the second day of the third month of 1966. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 03/12/1965 (B) 01/07/1965 (C) 11/02/1964 (D) 03/02/1965 (E) 03/01/1965 (F) 03/02/2012,Today is 02/03/1966. One year ago would be 02/03/1965. Therefore among A through F the answer is D.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 05/18/1989 (B) 05/10/2019 (C) 03/31/2019 (D) 03/18/2019 (E) 05/18/2019 (F) 05/17/2019,Jane thinks today is 6/18/2019 which means that a month ago she would think the date was 5/18/2019. However John thinks today is 6/19/2019 which means that a month ago he would think the date was 5/19/2019. Therefore the correct answer is (E) 05/18/2019. Therefore among A through F the answer is E.
On May 9th 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 06/26/2017 (B) 06/17/2017 (C) 07/18/2017 (D) 07/13/2017 (E) 06/17/2111 (F) 06/25/2017,Jane bought 40 eggs on May 9th 2017. That means that as of May 9th she had 40 eggs. She ate one egg per day. That means that as of May 10th she had 39 eggs. As of May 11th she had 38 eggs. As of May 12th she had 37 eggs. This pattern continues until...As of June 17th she had 1 egg. That means that on June 18th she ran out of eggs.  Therefore among A through F the answer is B.
It was Sept. 1st 2021 a week ago. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 12/06/2021 (B) 09/01/2021 (C) 09/01/2098 (D) 09/01/2020 (E) 09/02/2021 (F) 09/07/2021,One week ago from today would be 7 days ago. 7 days ago from today would be 09/01/2021. Therefore among A through F the answer is B.
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 03/05/2007 (B) 03/02/1973 (C) 03/05/1972 (D) 03/05/1973 (E) 01/02/1973 (F) 03/04/1983,The question is asking for the date one year ago from today. Today is 3/5 which means that one year ago it was 3/5 - 1 year = 3/5 - 12 months = 3/5 - 365 days = 3/5 - 365.24 days. 3/5 - 365.24 days = 3/5 - (365 + 24/100) days = 3/5 - (365 + 0.24) days = 3/5 - 365.24 days = 2/5 - 0.24 days = 2/5 - (0 + 24/100 Therefore among A through F the answer is C.
Yesterday was April 30 2021. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 03/14/2021 (B) 05/02/1960 (C) 05/02/2021 (D) 04/29/2021 (E) 04/11/2021 (F) 05/01/2021,Yesterday was April 30 2021. Today is May 1 2021. Tomorrow is May 2 2021. Therefore the answer is C. Therefore among A through F the answer is C.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. John is correct. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 06/18/2019 (B) 06/18/2066 (C) 06/18/1933 (D) 11/18/2019 (E) 02/18/2019 (F) 05/28/2019,Jane thinks today is 6/18/2019 which means that yesterday was 6/17/2019. John thinks today is 6/19/2019 which means that yesterday was 6/18/2019. Therefore the date yesterday in MM/DD/YYYY was 06/18/2019. Therefore among A through F the answer is A.
This is the last day of 1899. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 02/07/1900 (B) 11/30/1843 (C) 11/29/1899 (D) 11/30/1899 (E) 12/01/1899 (F) 11/30/1983,The last day of 1899 is 12/31/1899. A month ago from that would be 11/30/1899. Therefore among A through F the answer is D.
Today is Christmas Eve of 1937. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/25/2006 (B) 12/11/1937 (C) 12/25/1937 (D) 12/04/1937 (E) 07/25/1937 (F) 01/04/1938,Today is December 24 1937. The day after December 24 is December 25. Therefore tomorrow's date is December 25 1937. The answer is C. Therefore among A through F the answer is C.
Jane booked a flight for tomorrow Jul 29 2002. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 06/21/2002 (B) 10/28/2002 (C) 06/28/2002 (D) 08/25/2002 (E) 06/27/2002 (F) 10/28/2001,Jane booked a flight for tomorrow Jul 29 2002. The date a month ago would be Jun 29 2002. Therefore among A through F the answer is C.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 05/13/2019 (B) 05/18/2019 (C) 06/17/2019 (D) 06/08/2019 (E) 05/20/2019 (F) 06/17/2063,Jane thinks today is 6/18/2019. The day before that would be 6/17/2019. Therefore the answer is C. Therefore among A through F the answer is C.
2015 is coming in 36 hours. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 11/07/2014 (B) 10/03/2014 (C) 10/26/2014 (D) 12/28/2014 (E) 02/13/2015 (F) 12/29/2014,The day before yesterday was 12/27/2014. The day before that was 12/26/2014. Therefore among A through F the answer is D.
Jane and John married on Jan 2 1958. It is their 5-year anniversary today. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 01/02/1961 (B) 10/01/1960 (C) 12/26/1960 (D) 12/26/1936 (E) 07/26/1960 (F) 01/09/1961,The question is asking for one week ago from today. Today is their 5-year anniversary so today's date is 01/02/1963. One week ago would be 12/26/1962. Therefore the answer is (C). Therefore among A through F the answer is (C).
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date today in MM/DD/YYYY? Answer Choices: (A) 02/28/2016 (B) 02/29/1980 (C) 02/29/2036 (D) 02/29/2016 (E) 01/16/2016 (F) 03/07/2016,Jane was born on February 29th so today is February 29th. The year is 2016. Therefore the date today is 02/29/2016. Therefore among A through F the answer is D.
Yesterday was April 30 2021. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 05/09/2021 (B) 04/30/2021 (C) 04/30/2022 (D) 04/27/2021 (E) 04/30/1996 (F) 04/29/2021,First we need to know what day it is today. Today is May 9 2021. Next we need to know how many days ago was April 30 2021. Today is May 9 2021 and April 30 2021 was 11 days ago. Now we can count 11 days back from May 9 2021. This means that the date 11 days ago was April 30 2021. Therefore the answer is (B). Therefore among A through F the answer is B.
The deadline is Jun 1 2021 which is 2 days away from now. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 05/23/2020 (B) 05/24/2021 (C) 05/23/2021 (D) 05/23/1940 (E) 04/13/2021 (F) 05/23/2054,The deadline is Jun 1 2021 which is 2 days away from now. That means that today is May 30 2021. If today is May 30 2021 then one week ago would be May 23 2021. Therefore the answer is (C). Therefore among A through F the answer is C.
Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/17/2010 (B) 02/26/2010 (C) 11/17/2009 (D) 02/17/2096 (E) 02/14/2010 (F) 02/16/2010,Jane visits the bookstore on the 16th of each month. The 5th visit today means that she has visited the bookstore 4 times before today. The 4th visit was on December 16th. So the 3rd visit was on November 16th the 2nd visit was on October 16th and the 1st visit was September 16th. Therefore tomorrow's date is February 17th 2010. The answer is (A). Therefore among A through F the answer is A.
The day before yesterday was 11/23/1933. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 11/26/1989 (B) 11/15/1933 (C) 11/25/1933 (D) 12/26/1933 (E) 11/27/1933 (F) 11/26/1933,The day before yesterday was 11/23/1933. Yesterday was 11/24/1933. Today is 11/25/1933. Tomorrow is 11/26/1933. Therefore among A through F the answer is F.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 10/15/1924 (B) 09/25/1924 (C) 10/16/1924 (D) 10/29/1924 (E) 10/16/1897 (F) 10/16/1974,Today's meeting is on 10/16/1924. The meeting is being rescheduled to 11 am tomorrow which is 10/17/1924. Therefore the date 24 hours later from 10/17/1924 would be 10/18/1924. The answer is (C). Therefore among A through F the answer is C.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 03/05/2002 (B) 03/26/2002 (C) 03/06/2002 (D) 03/12/2002 (E) 03/05/1932 (F) 03/05/2095,Jane thinks today is 3/11/2002 which means that one week ago she would have thought it was 3/4/2002. However since it is really Mar 12 that means one week ago would have been Mar 5 or 3/05/2002. The answer is A. Therefore among A through F the answer is A.
Tomorrow is 11/12/2019. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 11/04/2018 (B) 11/02/2018 (C) 08/25/2018 (D) 11/11/2018 (E) 09/04/2018,One year ago from today would be 11/12/2018. The day before that would be 11/11/2018. Therefore among A through F the answer is D.
Jane was born on the last day of Feburary in 2000. Today is her 16-year-old birthday. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 02/01/2017 (B) 08/01/2015 (C) 02/20/2016 (D) 03/01/2016 (E) 06/06/2016,Jane's 16th birthday is on 02/29/2016. The day after her 16th birthday is 03/01/2016. Therefore among A through F the answer is D.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 04/21/2019 (B) 05/28/2019 (C) 06/25/2019 (D) 06/26/2019 (E) 06/24/2019 (F) 07/04/2019,Jane thinks today is 6/18/2019 which is a Tuesday. If today is Tuesday then one week from today would be Tuesday again. The date one week from today is 6/25/2019.  Therefore among A through F the answer is C.
In the UK people usually put the day before the month when formatting the date. Therefore today is 02/01/1987 to them. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 01/13/1987 (B) 12/24/1986 (C) 11/18/1986 (D) 12/23/1986 (E) 01/01/1987 (F) 12/21/1986,The date 10 days ago would be 12/23/1986. In the UK people usually put the day before the month when formatting the date. Therefore the date 10 days ago would be 23/12/1986 to them. Therefore among A through F the answer is D.
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 11/07/2002 (B) 11/21/2002 (C) 11/30/2002 (D) 09/12/2002 (E) 11/21/2076 (F) 11/15/2002,The fourth Thursday of November 2001 was November 22 2001. The day before Thanksgiving 2001 was November 21 2001. Therefore the answer is B. Therefore among A through F the answer is B.
This is the last day of 1899. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 11/30/1899 (B) 01/22/1900 (C) 11/02/1899 (D) 12/30/1899 (E) 01/06/1900 (F) 12/31/1899,The last day of 1899 is 12/31/1899. The day before that is 12/30/1899. Therefore among A through F the answer is D.
Today is the second day of the third month of 1966. What is the date today in MM/DD/YYYY? Answer Choices: (A) 06/09/1966 (B) 03/16/1966 (C) 12/02/1966 (D) 03/02/1966 (E) 03/09/1966 (F) 07/02/1965,The second day of the third month is the 2nd. The third month is March so the month is 3. The year is 1966 so the year is 66. Therefore the date is 03/02/66. Therefore among A through F the answer is D.
The current local time is 3:02 pm of 5/4/2004. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 05/05/2004 (B) 05/10/2004 (C) 05/21/2004 (D) 05/25/2004 (E) 05/11/2004 (F) 04/12/2004,One week from today would be 3:02 pm on 5/11/2004. Therefore the date one week from today is 05/11/2004. Therefore among A through F the answer is E.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 03/01/2017 (B) 03/01/1919 (C) 05/04/2017 (D) 02/15/2017 (E) 06/02/2017 (F) 03/01/2005,Jane's 16th birthday is on 02/28/2017. The day after her 16th birthday is 03/01/2017. Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 12/05/2016 (B) 02/27/1955 (C) 02/27/2017 (D) 02/26/2017 (E) 12/27/2016 (F) 02/18/2017,Jane's 16th birthday is on 02/28/2017 so yesterday was 02/27/2017. Therefore among A through F the answer is C.
Today is Christmas Eve of 1937. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 11/24/1930 (B) 10/09/1937 (C) 11/24/1937 (D) 01/14/1938 (E) 09/04/1937 (F) 03/24/1938,A month ago would be November so the month would be 11. The day would be 24 because that's Christmas Eve. The year would be 1937 because that's the year given in the question. Therefore the answer is 11/24/1937. Therefore among A through F the answer is C.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 06/13/2018 (B) 06/18/2018 (C) 06/19/2018 (D) 05/23/2018 (E) 07/09/2018 (F) 06/17/2018,Jane thinks today is 6/18/2019 which means that one year ago today was 6/18/2018. John thinks today is 6/19/2019 which means that one year ago today was 6/19/2018. Therefore the correct answer is (B) 06/18/2018. Therefore among A through F the answer is B.
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date today in MM/DD/YYYY? Answer Choices: (A) 01/16/2003 (B) 08/24/2002 (C) 11/23/2002 (D) 11/22/2002 (E) 09/04/2002 (F) 11/21/2002,The fourth Thursday of November 2001 was November 22 2001. The US Thanksgiving of 2001 was on November 22 2001. Today is November 22 2002. Therefore the date today is 11/22/2002. Therefore among A through F the answer is D.
Today is the last day of the first quarter of 2008. What is the date today in MM/DD/YYYY? Answer Choices: (A) 08/31/2008 (B) 12/23/2007 (C) 03/31/2008 (D) 05/05/2008 (E) 10/31/2008 (F) 03/24/2008,The first quarter of 2008 is January 1st-March 31st. Today is the last day of the first quarter so today is March 31st. Therefore the date today is 03/31/2008. Therefore among A through F the answer is C.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 02/11/2002 (B) 02/12/2002 (C) 02/18/2002 (D) 02/08/2002 (E) 05/22/2002 (F) 04/12/2001,Jane thinks today is 3/11/2002 which means that a month ago she would have thought it was 2/11/2002. However the actual date a month ago was 2/12/2002 which is one day later. Therefore the answer is (B) 02/12/2002. Therefore among A through F the answer is B.
Jane is celebrating the last day of Jan 2012. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 02/01/2011 (B) 04/20/2011 (C) 10/31/2011 (D) 06/30/2011 (E) 01/31/2011 (F) 02/08/2011,The last day of Jan 2012 is Jan 31st. One year ago from Jan 31st would be Jan 31st - 1 year which is Jan 31st 2011. Therefore the answer is (E). Therefore among A through F the answer is (E).
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 06/26/2019 (B) 06/19/1934 (C) 09/20/2019 (D) 06/11/2019 (E) 06/19/2019 (F) 05/05/2019,Jane thinks today is 6/18/2019. That means tomorrow to Jane is 6/19/2019. So if we're looking for the date 24 hours later that would be 6/20/2019. Therefore the answer is (E). Therefore among A through F the answer is (E).
It is 4/19/1969 today. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 04/20/1969 (B) 04/20/2035 (C) 04/18/1969 (D) 04/06/1969 (E) 04/21/1969 (F) 03/23/1969,The day after 4/19/1969 is 4/20/1969. Therefore among A through F the answer is A.
The deadline is Jun 1 2021 which is 2 days away from now. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 06/05/2021 (B) 06/06/2021 (C) 12/06/2021 (D) 05/30/2021 (E) 03/07/2021,The deadline is Jun 1 2021 which is 2 days away from now. Today is May 30 2021. If today is May 30 2021 then one week from today is June 6 2021. Therefore the answer is B. Therefore among A through F the answer is B.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 09/03/1943 (B) 04/11/1943 (C) 06/04/1943 (D) 03/09/1943 (E) 08/03/1942 (F) 06/03/1943,The concert was scheduled to be on 06/01/1943 but was delayed by one day. This means that the concert was originally supposed to be on 06/01/1943 but it was pushed back to 06/02/1943. Therefore 24 hours later would be 06/03/1943. Therefore among A through F the answer is F.
The day before yesterday was 11/23/1933. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 11/25/1993 (B) 05/25/1932 (C) 11/26/1932 (D) 11/25/1932 (E) 02/25/1933 (F) 09/20/1932,The day before yesterday was 11/23/1933. That means yesterday was 11/24/1933. One year ago from today would be 11/24/1932. Therefore among A through F the answer is D.
The deadline is Jun 1 2021 which is 2 days away from now. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 05/30/2020 (B) 05/20/2020 (C) 05/09/2020 (D) 05/30/1948 (E) 10/30/2019 (F) 06/02/2020,The deadline is Jun 1 2021. That means that one year ago the date was Jun 1 2020. Therefore the answer is 06/01/2020. Therefore among A through F the answer is A.
Jane quited her job on Mar 20 2020. 176 days have passed since then. What is the date today in MM/DD/YYYY? Answer Choices: (A) 12/12/2020 (B) 09/17/2020 (C) 09/12/1961 (D) 11/12/2020 (E) 09/12/2020,Jane quited her job on Mar 20 2020. That means that today is 176 days after she quit her job. We can use a calendar to count 176 days after March 20 2020. That would be September 12 2020. Therefore the answer is (E). Therefore among A through F the answer is (E).
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 06/08/2019 (B) 06/01/2019 (C) 07/08/2019 (D) 06/07/2019 (E) 06/09/2019 (F) 06/08/2021,Jane thinks today is 6/18/2019 which means that 10 days ago was 6/8/2019. Therefore among A through F the answer is A.
Jane booked a flight for tomorrow Jul 29 2002. What is the date today in MM/DD/YYYY? Answer Choices: (A) 08/18/2002 (B) 07/16/2002 (C) 10/09/2002 (D) 09/11/2002 (E) 11/28/2002 (F) 07/28/2002,Jane booked a flight for tomorrow. Today is the day before the flight so it is Jul 28 2002. The answer is 07/28/2002. Therefore among A through F the answer is F.
Yesterday was 12/31/1929. Today could not be 12/32/1929 because December has only 31 days. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 01/02/1930 (B) 01/08/1930 (C) 04/08/1930 (D) 01/08/1860 (E) 01/08/1872,The date one week from 12/31/1929 is 01/07/1930. The day after 12/31/1929 is 01/01/1930. 01/01/1930 + 7 days = 01/08/1930. Therefore the answer is (B) 01/08/1930. Therefore among A through F the answer is B.
Today is the first day of 2007. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 01/02/1946 (B) 01/08/2007 (C) 01/02/2007 (D) 03/12/2007 (E) 01/01/2007,Today is the first day of 2007. That means that it is 01/01/2007. The day after 01/01/2007 is 01/02/2007. Therefore among A through F the answer is C.
Today 8/3/1997 is a day that we will never forget. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 08/03/1996 (B) 07/03/1997 (C) 09/22/1997 (D) 07/12/1997 (E) 07/02/1997 (F) 06/12/1997,A month ago from today would be 7/3/1997. Therefore among A through F the answer is B.
Jane is celebrating the last day of Jan 2012. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/11/2012 (B) 02/15/2012 (C) 02/02/2012 (D) 02/01/2012 (E) 04/22/2012 (F) 01/25/2012,Jane is celebrating the last day of Jan 2012. The last day of Jan 2012 is Jan 31. Tomorrow is Feb 1. Therefore the answer is D. Therefore among A through F the answer is D.
Tomorrow is 11/12/2019. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 02/12/2020 (B) 10/22/2019 (C) 11/14/2019 (D) 11/12/2019 (E) 12/10/2019,The day after 11/12/2019 is 11/13/2019. Therefore the date tomorrow in MM/DD/YYYY is 11/13/2019. Therefore among A through F the answer is D.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 03/13/2002 (B) 03/06/2002 (C) 02/13/2002 (D) 03/11/2002 (E) 03/14/2002 (F) 12/13/2001,Jane thinks it's 3/11/2002 which is one day before it actually is. So one day later would be 3/12/2002. But since Jane thinks it's 3/11 one day after that would be 3/13/2002. Therefore the answer is (A). Therefore among A through F the answer is A.
Jane thought today is 3/11/2002 but today is in fact Mar 12 which is 1 day later. What is the date today in MM/DD/YYYY? Answer Choices: (A) 03/14/2002 (B) 05/12/2001 (C) 03/12/1908 (D) 03/12/2002 (E) 01/31/2002 (F) 04/02/2002,Jane thinks today is 3/11/2002 which means that the last two digits of the year are 02. Today is in fact Mar 12 which is 1 day later. The date today is 3/12/2002. Therefore among A through F the answer is D.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. John is correct. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 06/11/2019 (B) 06/12/2019 (C) 06/12/2022 (D) 08/25/2019 (E) 03/24/2019 (F) 06/13/2019,Jane thinks today is 6/18/2019 which means that one week ago was 6/11/2019. However John thinks today is 6/19/2019 which means that one week ago was 6/12/2019. Therefore the correct answer is B. Therefore among A through F the answer is B.
